campaign_id,campaign_name,campaign_type,target_audience,channel,date,spend,views,clicks,conversions,revenue
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,Instagram,2025-07-02,10099.12,511560.0,42764.0,2227.0,98061.4
SS_2025,Summer Sale,Seasonal Sale,Adults,Facebook,2025-07-23,3478.75,34019.0,1769.0,305.0,14921.06
NF_2025,Nature First,Brand Image,Parents,Facebook,2025-03-16,5200.68,76079.0,2746.0,45.0,2374.23
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Facebook,2025-01-12,2112.13,10050.0,337.0,210.0,31190.57
SS_2025,Summer Sale,Seasonal Sale,Adults,Email,2025-06-26,8966.25,42460.0,2070.0,198.0,10005.71
DBB_2025,Don't Burn for Beauty,Social Impact,Adults,LinkedIn,2025-07-24,8753.79,141725.0,0.0,0.0,0.0
PL_2025,Product Launch,Product Launch,Adults,Facebook,2025-02-04,4230.34,63218.0,4261.0,381.0,39749.19
DBB_2025,Don't Burn for Beauty,Social Impact,Adults,LinkedIn,2025-07-13,4360.11,69475.0,4844.0,66.0,2418.97
TSF_2025,TikTok Skin Fails,Trend Counter,Gen Z,TikTok,2025-03-17,24118.24,5923137.0,628258.0,6738.0,170065.5
NF_2025,Nature First,Brand Image,Parents,Instagram,2025-02-25,6420.06,72369.0,3589.0,78.0,6648.48
NF_2025,Nature First,Brand Image,Young Adults,LinkedIn,2025-05-21,6468.94,68277.0,2639.0,83.0,5037.07
AAR_2025,Anti-Aging Routine,Product Education,Adults,Facebook,2025-05-29,4996.85,37339.0,1087.0,265.0,23402.89
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Email,2025/02/28,5133.8,,571.0,111.0,11740.19
PL_2025,Product Launch,Product Launch,Young Adults,Instagram,2025-03-27,21583.99,380071.0,19079.0,894.0,80711.77
NF_2025,Nature First,Brand Image,Young Adults,LinkedIn,2025-05-02,8620.18,78099.0,,27.0,2336.81
PL_2025,Product Launch,Product Launch,Adults,Email,2025-03-17,23786.38,353742.0,22579.0,4092.0,369318.81
HP_2025,Holiday Prep,Seasonal Education,Adults,Email,2025-11-12,4078.55,10209.0,989.0,573.0,
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,YouTube,2025-01-31,4229.94,42822.0,926.0,114.0,12100.16
TSF_2025,TikTok Skin Fails,Trend Counter,Gen Z,YouTube,2025-06-07,7763.0,1043910.0,0.0,0.0,0.0
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,YouTube,2025-04-17,2383.47,153075.0,4694.0,0.0,0.0
NF_2025,Nature First,Brand Image,Young Adults,youtube,2025-02-23,4516.83,55837.0,1670.0,50.0,2541.1
NF_2025,Nature First,Brand Image,Parents,Facebook,2025-05-11,5814.11,38745.0,697.0,23.0,1554.56
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Email,2025-02-27,5755.68,51592.0,3275.0,1215.0,125935.46
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Email,2025-03-09,,17203.0,1224.0,203.0,
HP_2025,Holiday Prep,Seasonal Education,Parents,Email,2025-11-04,5966.73,37258.0,4163.0,4278.0,384962.93
DBB_2025,Don't Burn for Beauty,Social Impact,Gen Z,TikTok ,2025-06-24,1168.1,155564.0,,136.0,5142.57
SS_2025,Summer Sale,Seasonal Sale,Adults,LinkedIn,2025-06-26,4548.74,30781.0,443.0,21.0,1388.52
NF_2025,Nature First,Brand Image,Gen Z,Instagram,2025-02-22,7524.34,83389.0,3407.0,26.0,1792.67
DBB_2025,Don't Burn for Beauty,Social Impact,Adults,Facebook,2025-08-07,6612.79,93187.0,4185.0,148.0,5352.62
AAR_2025,Anti-Aging Routine,Product Education,Adults,Facebook,2025-03-19,5486.13,25578.0,722.0,116.0,13030.74
SS_2025,Summer Sale,Seasonal Sale,Young Adults, Instagram,2025-06-08,3314.54,50700.0,3386.0,216.0,12588.94
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Facebook,2025-01-30,7122.88,78966.0,1847.0,401.0,38103.98
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,YouTube,2025-04-04,3951.07,47745.0,888.0,212.0,23393.4
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Facebook,2025-05-04,5499.67,33994.0,1038.0,163.0,19595.45
SCA_2025,Skin Cancer Awareness,Educational Awareness,Young Adults,Instagram,2025-05-31,6456.65,226416.0,6202.0,35.0,706.86
DBB_2025,Don't Burn for Beauty,Social Impact ,Gen Z,YouTube,2025-08-07,12567.31,862384.0,81532.0,2168.0,47961.26
PL_2025,Product Launch,Product Launch,Young Adults,Facebook,2025-03-11,10081.39,283484.0,21898.0,0.0,0.0
SS_2025,Summer Sale,Seasonal Sale,Adults,Email,2025-06-07,4797.3,17684.0,1627.0,476.0,23078.0
NF_2025,Nature First,Brand Image,Gen Z,Instagram,2025-06-02,6715.4,119452.0,4907.0,36.0,1668.72
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Facebook,2025-04-29,3500.14,30752.0,976.0,313.0,25310.71
AAR_2025,Anti-Aging Routine,Product Education ,Adults,Facebook,2025-05-24,2831.81,15647.0,685.0,128.0,12448.28
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Facebook,2025-02-06,3122.57,28094.0,1271.0,60.0,3825.94
NF_2025,Nature First,Brand Image,Young Adults,YouTube,04-30-2025,6439.57,130390.0,4330.0,113.0,6891.03
HP_2025,Holiday Prep,Seasonal Education,Adults,Email,2025-10-27,,34180.0,3341.0,771.0,40839.82
HP_2025,Holiday Prep,Seasonal Education ,Parents,Facebook,2025-11-13,2713.89,25983.0,1996.0,614.0,48682.23
AAR_2025,Anti-Aging Routine,Product Education,Seniors,LinkedIn,2025-04-30,2207.87,4680.0,84.0,9.0,1141.47
BF_2025,Black Friday,Seasonal Sale,Parents,Facebook,2025-11-21,7651.63,56709.0,4293.0,942.0,70846.43
HP_2025,Holiday Prep,Seasonal Education,Adults,Instagram,2025-11-01,3098.25,23380.0,,482.0,38173.34
AAR_2025,Anti-Aging Routine,Product Education,Adults,LinkedIn,2025-03-24,3695.23,37451.0,1120.0,178.0,13338.7
HP_2025,Holiday Prep,Seasonal Education,Parents,Email,09/11/2025,5840.0,13519.0,1588.0,391.0,33828.92
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,Instagram,2025-05-06,10150.81,795222.0,34003.0,746.0,34349.91
AAR_2025,Anti-Aging Routine ,Product Education,Adults,YouTube ,2025-06-03,3259.18,6241.0,238.0,52.0,3482.6
BF_2025,Black Friday,Seasonal Sale,Seniors,Facebook,2025-11-26,11914.01,76739.0,5584.0,3587.0,336127.2
NF_2025,Nature First,Brand Image,Parents,Facebook,2025-05-24,4843.94,41772.0,2200.0,43.0,2518.76
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Email,2025-02-02,4436.33,9156.0,316.0,130.0,13968.72
NF_2025,Nature First,Brand Image,Gen Z,Instagram,2025-04-23,5744.19,61513.0,2646.0,110.0,8568.16
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,YouTube,2025-08-08,9802.83,482017.0,18826.0,1200.0,29678.19
TSF_2025,TikTok Skin Fails,Trend Counter ,Young Adults,YouTube,2025-03-22,8088.86,726137.0,126010.0,3438.0,139670.88
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,Facebook ,2025-07-08,3814.75,66602.0,4870.0,207.0,6361.52
SS_2025,Summer Sale,Seasonal Sale,Young Adults,Instagram,2025-05-16,9104.07,96491.0,2822.0,113.0,8098.85
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,Instagram,2025-06-26,6706.5,124662.0,13513.0,1206.0,51225.63
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Email,2025-05-28,3680.89,6794.0,553.0,331.0,33575.95
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,Facebook,2025-05-30,14395.96,547133.0,63266.0,3036.0,139875.85
SS_2025,Summer Sale,Seasonal Sale,Adults,Email,2025-07-27,4507.37,25424.0,1252.0,581.0,44946.89
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,Facebook,2025-04-30,31156.4,1131125.0,113051.0,5157.0,264123.14
AAR_2025,Anti-Aging Routine,Product Education,Adults,YouTube,2025-05-09,4520.65,52517.0,1790.0,587.0,72686.92
PL_2025,Product Launch,Product Launch,Young Adults,YouTube,2025-02-13,7272.42,123382.0,,103.0,7310.46
HP_2025,Holiday Prep,Seasonal Education,Parents,Email,2025-11-06,2382.03,9337.0,1367.0,507.0,36865.42
HP_2025,Holiday Prep,Seasonal Education,Adults,Instagram,2025-11-04,5687.9,45969.0,3542.0,1461.0,137462.57
NF_2025,Nature First,Brand Image,Gen Z,YouTube,2025-03-06,7787.45,253576.0,6536.0,390.0,17257.0
NF_2025,Nature First,Brand Image,Parents,Instagram,04-16-2025,3549.49,24372.0,541.0,16.0,1156.42
NF_2025,Nature First,Brand Image,Parents,Email,2025-03-01,6763.83,53449.0,2176.0,186.0,16961.58
SS_2025,Summer Sale,Seasonal Sale,Adults,Facebook,2025-05-23,3249.63,55932.0,1682.0,229.0,28190.97
SCA_2025,Skin Cancer Awareness,Educational Awareness,Young Adults,Instagram ,2025-05-02,19957.68,1815745.0,34545.0,367.0,7416.57
AAR_2025,Anti-Aging Routine,Product Education,Young Adults,Instagram,2025-04-27,2696.36,21749.0,396.0,56.0,3716.29
PL_2025,Product Launch,Product Launch,Seniors,LinkedIn,2025-02-11,5721.15,52216.0,1655.0,124.0,9677.6
HP_2025,Holiday Prep,Seasonal Education,Seniors,Email,2025-11-02,2723.63,13665.0,1116.0,246.0,27096.64
NF_2025,Nature First,Brand Image,Parents,Facebook,2025-03-28,5891.43,68514.0,2161.0,63.0,5266.83
SCA_2025,Skin Cancer Awareness,Educational Awareness,Young Adults,Instagram ,2025-05-14,13830.99,540523.0,20972.0,1241.0,29346.17
AAR_2025,Anti-Aging Routine,Product Education,Adults,Email,2025-02-05,4026.33,8806.0,465.0,95.0,6257.07
AAR_2025,Anti-Aging Routine,Product Education,Adults,Facebook,2025-02-23,3800.98,28232.0,585.0,109.0,13241.37
SS_2025, Summer Sale,Seasonal Sale,Young Adults,YouTube,2025-05-30,13677.83,400781.0,13385.0,783.0,31577.27
DBB_2025,Don't Burn for Beauty ,Social Impact,Young Adults,TikTok,2025-08-11,8931.05,490762.0,31140.0,253.0,8964.22
BF_2025,Black Friday, Seasonal Sale,Parents,Instagram,2025-11-22,6766.42,132057.0,9488.0,2791.0,182099.18
SS_2025,Summer Sale,Seasonal Sale,Gen Z,TikTok,24/05/2025,9886.15,376361.0,10603.0,844.0,46712.35
SS_2025,Summer Sale,Seasonal Sale,Gen Z,Instagram,2025-07-02,13067.41,174674.0,6854.0,395.0,24498.2
TSF_2025,TikTok Skin Fails,Trend Counter, Gen Z,TikTok,2025-06-07,22102.96,3204496.0,367652.0,24621.0,605133.86
AAR_2025,Anti-Aging Routine, Product Education,Adults,LinkedIn,2025-03-15,5813.0,21871.0,,105.0,13415.95
SS_2025,Summer Sale,Seasonal Sale,Parents,Instagram,2025-05-24,12449.68,191828.0,6373.0,1255.0,57632.59
DBB_2025,Don't Burn for Beauty,Social Impact,Adults,Facebook,2025-07-11,6425.66,284051.0,18690.0,1062.0,44573.69
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,TikTok,2025-07-13,8078.22,766297.0,58418.0,605.0,17392.12
NF_2025,Nature First ,Brand Image,Young Adults,YouTube,2025-03-23,7670.72,199124.0,4902.0,352.0,19536.49
AAR_2025,Anti-Aging Routine,Product Education,Adults,Email,2025-05-22,5042.84,11222.0,571.0,302.0,25624.74
SS_2025,Summer Sale,Seasonal Sale,Young Adults,Instagram,2025-07-12,10249.77,86112.0,1634.0,109.0,6576.32
TSF_2025,TikTok Skin Fails,Trend Counter,Gen Z,TikTok,2025-06-03,16814.14,1806557.0,0.0,0.0,0.0
PL_2025,Product Launch,Product Launch,Seniors,LinkedIn,2025-03-28,14224.19,98841.0,3420.0,246.0,22761.16
AAR_2025,Anti-Aging Routine,Product Education,Adults,Facebook,2025-04-17,2469.8,11757.0,275.0,34.0,2703.88
PL_2025,Product Launch,Product Launch,Seniors,LinkedIn,2025-02-28,8996.53,70786.0,3911.0,204.0,16339.71
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,TikTok,2025-06-11,9932.04,891893.0,24442.0,724.0,35391.87
PL_2025,Product Launch,Product Launch,Young Adults,YouTube,2025-02-27,11675.84,742742.0,29835.0,422.0,32450.36
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Facebook,2025-04-04,3704.38,16934.0,256.0,22.0,1737.57
SS_2025,Summer Sale,Seasonal Sale,Young Adults,Instagram,2025-05-28,3023.56,22300.0,1084.0,139.0,7037.7
NF_2025,Nature First,Brand Image,Gen Z,TikTok,2025-03-10,4873.84,156166.0,8157.0,98.0,6282.94
PL_2025,Product Launch,Product Launch,Young Adults,YouTube,2025-01-28,19502.96,1235563.0,72064.0,1205.0,87875.03
SS_2025,Summer Sale,Seasonal Sale,Gen Z,YouTube,2025-07-26,3930.61,,8960.0,1195.0,150293.0
SCA_2025,Skin Cancer Awareness,Educational Awareness,Adults,LinkedIn,2025-05-21,17469.07,353623.0,7831.0,40.0,1095.72
NF_2025,Nature First,Brand Image,Parents,Email,2025-03-17,7167.59,38139.0,,241.0,16956.73
SS_2025,Summer Sale,Seasonal Sale,Young Adults,Email,2025-05-14,9276.29,88732.0,5601.0,342.0,23673.28
PL_2025,Product Launch,Product Launch,Adults,Instagram,2025-02-20,12129.69,151050.0,7471.0,496.0,30344.14
NF_2025,Nature First,Brand Image,Young Adults,LinkedIn,2025-05-13,3148.77,28999.0,1268.0,9.0,706.78
BF_2025,Black Friday,Seasonal Sale,Young Adults,Email,2025-11-20,2016.07,12924.0,938.0,442.0,24344.46
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,YouTube,2025-04-08,8168.71,669059.0,30169.0,4710.0,193480.15
TSF_2025,TikTok Skin Fails,Trend Counter,Gen Z,TikTok,2025-04-02,91255.28,30159228.0,1535512.0,57321.0,1949256.01
TSF_2025,TikTok Skin Fails,Trend Counter,Gen Z,TikTok,2025-05-22,8044.52,1636441.0,58665.0,345.0,18343.22
SS_2025,Summer Sale,Seasonal Sale,Parents,Instagram,2025-06-13,2202.33,,3689.0,276.0,12285.87
 NF_2025,Nature First,Brand Image,Young Adults,Instagram,2025-03-19,7174.4,118751.0,4477.0,80.0,
AAR_2025,Anti-Aging Routine,Product Education,Adults,Email,2025-06-01,3307.95,7518.0,411.0,87.0,10682.02
SS_2025,Summer Sale,Seasonal Sale,Adults,Facebook,2025-06-15,6373.64,197496.0,11604.0,1617.0,107459.03
HP_2025,Holiday Prep,Seasonal Education,Seniors,Email,2025-11-11,6212.69,21582.0,2926.0,1015.0,113020.71
DBB_2025,Don't Burn for Beauty,Social Impact,Young Adults,Instagram,2025-07-11,3310.89,286908.0,26553.0,1674.0,69081.41
SS_2025,Summer Sale,Seasonal Sale,Gen Z,YouTube,2025-07-01,13079.55,736269.0,35815.0,2713.0,148759.86
SCA_2025,Skin Cancer Awareness,Educational Awareness,Seniors,YouTube,2025-06-03,5174.98,191973.0,5641.0,290.0,11937.62
SCA_2025,Skin Cancer Awareness,Educational Awareness,Adults,LinkedIn,2025-05-23,15651.54,,11506.0,255.0,10432.42
HP_2025,Holiday Prep,Seasonal Education, Adults,Facebook,2025-11-01,3473.78,45478.0,2329.0,852.0,62889.45
AAR_2025,Anti-Aging Routine,Product Education,Seniors,Facebook,2025-03-29,3972.74,21168.0,559.0,120.0,9752.6
TSF_2025,TikTok Skin Fails,Trend Counter,Young Adults,Instagram,2025-03-23,7007.63,386318.0,22983.0,1279.0,38613.88
HP_2025,Holiday Prep,Seasonal Education,Seniors,Facebook,2025-11-12,2309.66,9266.0,388.0,67.0,7324.65
AAR_2025,Anti-Aging Routine,Product Education,Adults,LinkedIn,2025-02-03,6335.46,64579.0,1854.0,467.0,46965.29
DBB_2025,Don't Burn for Beauty,Social Impact,Gen Z,Instagram,2025-08-09,9696.13,412342.0,60340.0,3016.0,66371.53
SS_2025,Summer Sale,Seasonal Sale,Gen Z,Instagram,2025-06-18,16484.92,653639.0,30222.0,1231.0,59042.09
